19:12:00.713551 config: drop-rate=0.00, max-delay=0s, seed=1574467920713298000
19:12:00.713852 router is listening at :3000
19:13:57.528121 config: drop-rate=0.20, max-delay=10ms, seed=1
19:13:57.528559 router is listening at :8080
20:14:16.498761 config: drop-rate=0.20, max-delay=100ms, seed=2387230234324
20:14:16.499544 router is listening at :3000
20:14:46.296426 [queue=1] packet #4294967287, 127.0.0.1:58769 -> 127.0.0.1:8007, sz=0 is delayed for 44ms
20:14:46.346734 [queue=0] packet #4294967287, 127.0.0.1:58769 -> 127.0.0.1:8007, sz=0 is delivered
20:14:46.349622 [queue=1] packet #4294967287, 127.0.0.1:58294 -> 127.0.0.1:58769, sz=0 is delayed for 63ms
20:14:46.415508 [queue=0] packet #4294967287, 127.0.0.1:58294 -> 127.0.0.1:58769, sz=0 is delivered
20:14:46.416556 [queue=1] packet #4294967287, 127.0.0.1:58769 -> 127.0.0.1:58294, sz=0 is delayed for 14ms
20:14:46.418512 [queue=2] packet #4294967288, 127.0.0.1:58769 -> 127.0.0.1:58294, sz=10 is delayed for 28ms
20:14:46.418626 [queue=3] packet #4294967289, 127.0.0.1:58769 -> 127.0.0.1:58294, sz=10 is delayed for 2ms
20:14:46.418993 [queue=4] packet #4294967290, 127.0.0.1:58769 -> 127.0.0.1:58294, sz=10 is delayed for 89ms
20:14:46.419322 [queue=5] packet #4294967291, 127.0.0.1:58769 -> 127.0.0.1:58294, sz=10 is delayed for 51ms
20:14:46.419657 [queue=6] packet #4294967292, 127.0.0.1:58769 -> 127.0.0.1:58294, sz=10 is delayed for 99ms
20:14:46.419817 [queue=7] packet #4294967293, 127.0.0.1:58769 -> 127.0.0.1:58294, sz=10 is delayed for 8ms
20:14:46.419975 [queue=8] packet #4294967294, 127.0.0.1:58769 -> 127.0.0.1:58294, sz=10 is delayed for 35ms
20:14:46.420124 [queue=9] packet #4294967295, 127.0.0.1:58769 -> 127.0.0.1:58294, sz=10 is delayed for 23ms
20:14:46.420833 [queue=8] packet #4294967289, 127.0.0.1:58769 -> 127.0.0.1:58294, sz=10 is delivered
20:14:46.421248 [queue=9] packet #1, 127.0.0.1:58769 -> 127.0.0.1:58294, sz=10 is dropped
20:14:46.421407 [queue=9] packet #2, 127.0.0.1:58769 -> 127.0.0.1:58294, sz=10 is delayed for 86ms
20:14:46.421685 [queue=10] packet #4294967289, 127.0.0.1:58294 -> 127.0.0.1:58769, sz=0 is delayed for 46ms
20:14:46.428551 [queue=9] packet #4294967293, 127.0.0.1:58769 -> 127.0.0.1:58294, sz=10 is delivered
20:14:46.429539 [queue=10] packet #4294967293, 127.0.0.1:58294 -> 127.0.0.1:58769, sz=0 is delayed for 87ms
20:14:46.431887 [queue=9] packet #4294967287, 127.0.0.1:58769 -> 127.0.0.1:58294, sz=0 is delivered
20:14:46.445430 [queue=8] packet #4294967295, 127.0.0.1:58769 -> 127.0.0.1:58294, sz=10 is delivered
20:14:46.446267 [queue=9] packet #4294967295, 127.0.0.1:58294 -> 127.0.0.1:58769, sz=0 is delayed for 82ms
20:14:46.447205 [queue=8] packet #4294967288, 127.0.0.1:58769 -> 127.0.0.1:58294, sz=10 is delivered
20:14:46.449755 [queue=9] packet #4294967288, 127.0.0.1:58294 -> 127.0.0.1:58769, sz=0 is delayed for 68ms
20:14:46.456863 [queue=8] packet #4294967294, 127.0.0.1:58769 -> 127.0.0.1:58294, sz=10 is delivered
20:14:46.458021 [queue=9] packet #4294967294, 127.0.0.1:58294 -> 127.0.0.1:58769, sz=0 is delayed for 77ms
20:14:46.468526 [queue=8] packet #4294967289, 127.0.0.1:58294 -> 127.0.0.1:58769, sz=0 is delivered
20:14:46.471007 [queue=7] packet #4294967291, 127.0.0.1:58769 -> 127.0.0.1:58294, sz=10 is delivered
20:14:46.471899 [queue=8] packet #4294967291, 127.0.0.1:58294 -> 127.0.0.1:58769, sz=0 is delayed for 32ms
20:14:46.506667 [queue=7] packet #4294967291, 127.0.0.1:58294 -> 127.0.0.1:58769, sz=0 is delivered
20:14:46.507674 [queue=6] packet #2, 127.0.0.1:58769 -> 127.0.0.1:58294, sz=10 is delivered
